Repo,PullRequest,Fork,Start_date,End_date,Commits,PR_Start,Commit_Before_PR,Participants,File_Paths,Run_Analysis
https://github.com/scrapy/scrapy,167,https://github.com/alexcepoi/scrapy,2012-08-21T00:47:35Z,2012-09-20T22:54:11Z,"['99b76eaa2cd347700de5a989656ec583b82ec460', '901987154eebcbaa1ce3e37b7c31892aae353d57', '6f1a5d8db6adf7e84e506321fb47f6636e4ea8aa', 'bf8dc61fb714e78c2ff734decc33a2d00e60d92c', '11d29c70059ee82e5608aaf0c958be19ece6e97a', '73e6bc1b106861db4d090dce6789ba08854107d4']",2012-08-24T14:49:13Z,901987154eebcbaa1ce3e37b7c31892aae353d57,2,"['docs/index.rst', 'docs/topics/commands.rst', 'docs/topics/contracts.rst', 'docs/topics/settings.rst', 'scrapy/commands/check.py', 'scrapy/contracts/__init__.py', 'scrapy/contracts/default.py', 'scrapy/exceptions.py', 'scrapy/settings/default_settings.py', 'scrapy/tests/test_contracts.py', 'scrapy/utils/misc.py', 'scrapy/utils/python.py']",false
https://github.com/scrapy/scrapy,177,https://github.com/alexcepoi/scrapy,2012-10-27T21:26:40Z,2012-10-28T17:23:21Z,"['94629a1f08eaf34d61d9bca068192b616c56a728', 'c6fad057568e9ba4178e2b161d8676afcef6e27d', '0350920f1dd3764183ec0a95f9fee3483b489a12']",2012-10-27T21:45:13Z,94629a1f08eaf34d61d9bca068192b616c56a728,2,"['scrapy/commands/check.py', 'scrapy/contracts/__init__.py', 'scrapy/exceptions.py', 'scrapy/tests/test_contracts.py']",true
https://github.com/scrapy/scrapy,234,https://github.com/rmax-contrib/scrapy,2013-02-01T03:49:36Z,2013-02-01T16:52:59Z,"['a2602df90b6954b6e764ab2b49d897fc2cdb0457', '6ed44a3a67e6e11063a53be9c0a8684cf2f688b2', 'd00e6cf1d7e7c2d8bb6c9822f6094e164a8478e2']",2013-02-01T04:11:14Z,a2602df90b6954b6e764ab2b49d897fc2cdb0457,2,"['scrapy/contrib/httpcache.py', 'scrapy/tests/mocks/__init__.py', 'scrapy/tests/mocks/dummydbm.py', 'scrapy/tests/test_downloadermiddleware_httpcache.py']",true
https://github.com/scrapy/scrapy,339,https://github.com/alexcepoi/scrapy,2013-07-08T14:58:29Z,2013-09-02T16:43:25Z,"['45d6d2044c48ef43108cc8a133f2b65ee77d2262', '919d7c4062f815f2ea6e5e8f606a24a01f6359bd', 'f3d8b0802a6f9080c5eb9f65be00b27c27684230', 'a9a911fb09316079965b06b8ced6a4b688f06551', 'a812def59e584512f32f7119d4735db50ab8ea78', '902208ca58aa99bacea57488642e0ea4129bd180', '7bdeabc0ed00cfaa27287a9ab84b42f893bf0881', '9c092536c5db8d5bf14a1aa366ba45c860eeec5e', '50b653e5ae1048be1ec0feb733f36cc06b8f7ea2']",2013-07-08T15:19:58Z,919d7c4062f815f2ea6e5e8f606a24a01f6359bd,2,"['scrapy/cmdline.py', 'scrapy/command.py', 'scrapy/commands/bench.py', 'scrapy/commands/check.py', 'scrapy/commands/crawl.py', 'scrapy/commands/edit.py', 'scrapy/commands/fetch.py', 'scrapy/commands/genspider.py', 'scrapy/commands/list.py', 'scrapy/commands/parse.py', 'scrapy/commands/runspider.py', 'scrapy/commands/settings.py', 'scrapy/commands/shell.py', 'scrapy/contracts/__init__.py', 'scrapy/crawler.py', 'scrapy/log.py']",true
https://github.com/scrapy/scrapy,343,https://github.com/kmike/scrapy,2013-12-18T18:06:47Z,2013-12-20T17:12:37Z,"['a87b3bd1c830ebc03066283f2f04f0bf4af15449', '71c59e1c948f2e9e3dad32a8aaabf1ddd795fd39', '503ab58f59886a2306a69b2662cd2219b80ae3d1', '84a3a9daac5536fa8f76927935b5235fafba9b0e', '943a0bd264a598be4c812fa525e46f64bb28ee96', 'ee46ec892061f01656e294441b2836a2f5b722c8', 'e0cebbfc8f47eebfb1b10796f4798193e6ef9e08']",2013-07-09T22:44:35Z,a87b3bd1c830ebc03066283f2f04f0bf4af15449,4,"['docs/topics/broad-crawls.rst', 'docs/topics/downloader-middleware.rst', 'scrapy/contrib/downloadermiddleware/ajaxcrawlable.py', 'scrapy/settings/default_settings.py', 'scrapy/tests/test_downloadermiddleware_ajaxcrawlable.py']",true
https://github.com/scrapy/scrapy,363,https://github.com/aufziehvogel/scrapy,2013-08-04T14:36:04Z,2013-09-14T10:17:34Z,"['915d7cf247a87054a3026be7c12eee6f90edade9', '8ed2d0cda16cbe1c94373dacf85a632a25df221a', '6994959181941529aecd8dd57369b99212555f30', '855041ebfd58a3e0e4190455de305d60bfa104aa']",2013-08-04T14:29:16Z,915d7cf247a87054a3026be7c12eee6f90edade9,2,"['docs/topics/spiders.rst', 'scrapy/contrib/spiders/sitemap.py', 'scrapy/tests/test_utils_sitemap.py', 'scrapy/utils/sitemap.py']",true
https://github.com/scrapy/scrapy,370,https://github.com/loucash/scrapy,2013-08-16T15:02:31Z,2013-08-28T16:00:54Z,"['76ce8c5238c3056d31b141d3a717740964b96969', '45ff6ec28ac44114b1c8b98e151ff3c21cd9b994', '96077ccf48a2a434f245db870eb4cf0b74ed278f', '4c89d8b2984667574dd42b5aa5b74625c06f9f17', '02d08722e75e06c2b91246dfa9ac22c8e9b01601', '2b11e7da939993668c798f1118e2fe010d783587', '83bd151c579c5b02abc9816cd10794223e916303', '0a8bf2c9e4720d4276add52cc46fc601f9ce228a']",2013-08-16T16:56:49Z,45ff6ec28ac44114b1c8b98e151ff3c21cd9b994,4,"['scrapy/contrib/pipeline/files.py', 'scrapy/contrib/pipeline/images.py', 'scrapy/contrib/pipeline/media.py', 'scrapy/tests/test_pipeline_files.py', 'scrapy/tests/test_pipeline_images.py']",true
https://github.com/scrapy/scrapy,397,https://github.com/duendex/scrapy,2013-12-02T22:19:41Z,2013-12-03T14:55:44Z,"['ae28c7d69847ca3e0ed4febd7df22d3c69ee49de', '36e4fc37857175acd8c2a54f5c45ede4ea2d51b9', '58a98b0c04b7dd10720b4310de1aef5765570885', '628bfbcc3e0945edd3ad5df733f96c5f12a82449', '7f053cc1d27d565c8a44f4135949087d3197e18f', '23c3288a6d07834687f607ac95ce5c082f061bfa', '88bec496f2b1a1e83b2a55dc1155988ebc7c08f0', 'd69ba7c1aede3b8f5e683695957777f2567d5067', '02bab270e83e9436a55915c52cd63e1209412573', '247b330f08291cb65dad147557b60c67b74fdbaf', 'f8dea74948698d26fcd7e4eafe67f556b11f0b06', '500490ee73c85897723b3060c9f1fecf8b516b99', '6427d60fd8967bc430c0e50415d120080663a65b', '8ada8f5f36b3d2b4dd92dc7bb4822c909e2b6d03']",2013-09-25T15:43:29Z,ae28c7d69847ca3e0ed4febd7df22d3c69ee49de,9,"['scrapy/core/downloader/handlers/http11.py', 'scrapy/tests/keys/mitmproxy-ca.pem', 'scrapy/tests/test_downloader_handlers.py', 'scrapy/tests/test_proxy_connect.py', 'tox.ini']",true
https://github.com/scrapy/scrapy,426,https://github.com/scrapy/scrapy,2013-10-10T20:23:15Z,2013-10-16T19:37:25Z,"['bc17e9d41242784bbf9b145de80a9483e3c7844f', 'b38ac27eee70b41a4d6d2545b5bf78139ff23f24', '4e6967b854644d527c0eb5ace61e80a590fbd520', '52e2eb6b703fbef709bdb5250758466e17862eee', 'ea579bca0456f4e0da656af7c39d09b793f417ef', '6d598f0d94a7b8e8f121e1149c91151ef7c47060', 'bf37f7857210cf225f4de7df31560105a26d2d2f', 'c3d28cc4128d2eb387c5c89e36fb5f4261546bd6', '681af6b2581b97f222eb95e7d4699247d63588f4', 'a9eb0b74c8aebcbab72d5af20261c18bf8afc388', 'e4d6e2eb317026069467f99913531ee56a00908c', '4e94b38396535bef740672c7a9852ed427c6b34c', 'add3506928f78e001a200a0966925486ab67b84c', '4645f9e03cf1d0ebe9ad4dd71d1fd6b725c583cd', 'ab9462a251ce084698e3751d5131ab9ce267ab0f', '28999590fa7e383c8ba152c1c843182adc903fc6', '1abb1af0c609447e487775700bef05d0b4149101', '155ea08ea1c50f347c21cb4635b36dd47141f4cc', '14613638099dffd9a1e67edf1ea63e1729d7b097']",2013-10-11T13:24:55Z,6d598f0d94a7b8e8f121e1149c91151ef7c47060,7,"['docs/intro/overview.rst', 'docs/intro/tutorial.rst', 'docs/news.rst', 'docs/topics/extensions.rst', 'docs/topics/firebug.rst', 'docs/topics/leaks.rst', 'docs/topics/loaders.rst', 'docs/topics/selectors.rst', 'docs/topics/shell.rst', 'docs/topics/spiders.rst', 'scrapy/__init__.py', 'scrapy/commands/version.py', 'scrapy/contrib/linkextractors/sgml.py', 'scrapy/contrib/loader/__init__.py', 'scrapy/contrib/memdebug.py', 'scrapy/contrib/spiders/feed.py', 'scrapy/contrib_exp/iterators.py', 'scrapy/selector/__init__.py', 'scrapy/selector/csstranslator.py', 'scrapy/selector/libxml2document.py', 'scrapy/selector/libxml2sel.py', 'scrapy/selector/list.py', 'scrapy/selector/lxmlsel.py', 'scrapy/selector/unified.py', 'scrapy/shell.py', 'scrapy/tests/test_command_shell.py', 'scrapy/tests/test_contrib_loader.py', 'scrapy/tests/test_libxml2.py', 'scrapy/tests/test_selector.py', 'scrapy/tests/test_selector_csstranslator.py', 'scrapy/tests/test_selector_libxml2.py', 'scrapy/tests/test_selector_lxml.py', 'scrapy/tests/test_selector_lxmldocument.py', 'scrapy/tests/test_spider.py', 'scrapy/tests/test_utils_iterators.py', 'scrapy/utils/iterators.py', 'scrapy/utils/test.py', 'sep/sep-020.rst', 'setup.py']",true
https://github.com/scrapy/scrapy,431,https://github.com/alexanderlukanin13/scrapy,2013-10-19T19:59:35Z,2013-10-22T16:49:18Z,"['d381a357325b92398f2cffe18f1001a8ece83c5f', 'ae4a61a2d530bc55103ea786f950abde3ce6739d', '6b598476eb287099f9b2ef8e1cff38cbd69e6d0d']",2013-10-19T20:21:33Z,d381a357325b92398f2cffe18f1001a8ece83c5f,3,"['extras/qps-bench-server.py', 'extras/scrapy-ws.py', 'scrapy/__init__.py', 'scrapy/cmdline.py', 'scrapy/commands/check.py', 'scrapy/commands/deploy.py', 'scrapy/commands/fetch.py', 'scrapy/commands/genspider.py', 'scrapy/commands/list.py', 'scrapy/commands/parse.py', 'scrapy/commands/runspider.py', 'scrapy/commands/settings.py', 'scrapy/commands/startproject.py', 'scrapy/commands/version.py', 'scrapy/contrib/djangoitem.py', 'scrapy/contrib/httpcache.py', 'scrapy/contrib/loader/__init__.py', 'scrapy/contrib/pipeline/media.py', 'scrapy/core/downloader/handlers/__init__.py', 'scrapy/core/downloader/handlers/s3.py', 'scrapy/core/engine.py', 'scrapy/core/scheduler.py', 'scrapy/dupefilter.py', 'scrapy/middleware.py', 'scrapy/shell.py', 'scrapy/squeue.py', 'scrapy/tests/mocks/dummydbm.py', 'scrapy/tests/mockserver.py', 'scrapy/tests/test_contrib_loader.py', 'scrapy/tests/test_dependencies.py', 'scrapy/tests/test_downloadermiddleware_httpcache.py', 'scrapy/tests/test_engine.py', 'scrapy/tests/test_pipeline_images.py', 'scrapy/tests/test_pipeline_media.py', 'scrapy/tests/test_selector.py', 'scrapy/tests/test_utils_defer.py', 'scrapy/tests/test_utils_jsonrpc.py', 'scrapy/tests/test_utils_request.py', 'scrapy/utils/datatypes.py', 'scrapy/utils/defer.py', 'scrapy/utils/display.py', 'scrapy/utils/engine.py', 'scrapy/utils/jsonrpc.py', 'scrapy/utils/misc.py', 'scrapy/utils/python.py', 'scrapy/utils/request.py', 'scrapy/utils/test.py', 'scrapy/utils/testsite.py', 'scrapy/utils/trackref.py', 'scrapy/xlib/lsprofcalltree.py', 'scrapy/xlib/pydispatch/dispatcher.py', 'scrapy/xlib/pydispatch/robust.py', 'scrapy/xlib/pydispatch/saferef.py', 'scrapy/xlib/tx/_newclient.py']",true
