Repo,PullRequest,Fork,Start_date,End_date,Commits,PR_Start,Commit_Before_PR,Participants
https://github.com/pallets/flask,307,https://github.com/s0undt3ch/flask,2011-08-25T10:46:05Z,2011-08-31T09:32:59Z,"['68ec5a30687a89a56406d8abd603b51a6645856e', '04e87a93def1593dd886931e0f9e1d4f37f8d243', '03a71e022919a0e1bff6606400e9d5ae234b8244', 'a9e09ec50e24c379348bc22606e39e88e47e4a8a']",2011-08-25T10:47:48Z,68ec5a30687a89a56406d8abd603b51a6645856e,2
https://github.com/pallets/flask,427,https://github.com/kevinburke/flask,2012-03-12T03:20:32Z,2012-03-12T06:17:40Z,"['6b9e6a5a52f22bdf6b86b76de1fc7c8e1a635a8f', '605d0ee34421fbc1dd714790ff016834c9b3f0cb', '2befab24c50a8f1a3417a7ce22e65608ba3905e1']",2012-03-12T03:34:09Z,605d0ee34421fbc1dd714790ff016834c9b3f0cb,2
https://github.com/pallets/flask,431,https://github.com/wilsaj/flask,2012-03-12T04:25:19Z,2012-03-12T05:36:12Z,"['e987d5d91776e9a2ba99fea13865eb3ca987e299', '56a6adf407f6db23358a5803de2ef30623ec6907', '3f6e20290d8fa4bf23d77ef2f16d7b855bad5e6f', '6f773ed3afae0d23279adb10c24b8aa1a9d76922']",2012-03-12T04:27:58Z,e987d5d91776e9a2ba99fea13865eb3ca987e299,3
https://github.com/pallets/flask,437,https://github.com/njl/flask,2012-03-12T18:27:35Z,2012-03-12T21:18:27Z,"['cb24646948a8c00c5b39f0d76bf75e153ac502b1', '09370c3f1c808e9251292bc228b6bef4b1223e93', '12544c3a8dbe4296b6f5cc8c2d602034d5924cd3', '27194a01d8f7e4fd913811859ec4051ff99c52f4', '68f93634de2e25afda209b710002e4c9159fd38e']",2012-03-12T19:41:13Z,12544c3a8dbe4296b6f5cc8c2d602034d5924cd3,5
https://github.com/pallets/flask,438,https://github.com/garbados/flask,2012-03-12T21:58:26Z,2012-03-13T00:12:55Z,"['74a72e86addd80a060f1abf9fe51bfc3f5d5be8b', 'd8c2ec4cd863112af4c55e1044c8d3024d58f21a', 'c78070d8623fb6f40bf4ef20a1109083ca79ef7a', '8f568cfc19f5b5f2aa59b06d4e2b5b8d31423605']",2012-03-12T22:21:07Z,c78070d8623fb6f40bf4ef20a1109083ca79ef7a,3
https://github.com/pallets/flask,1112,https://github.com/methane/flask,2014-07-10T14:01:32Z,2014-07-26T17:47:33Z,"['931be87475634c79deae584b7fa8d2bd6d6c55c0', 'efdf2e12125f52f02a68e20b6df1814635d2c005', 'a61347b902961d36d932bab56794fc39fab0d210']",2014-07-10T14:01:48Z,931be87475634c79deae584b7fa8d2bd6d6c55c0,2
https://github.com/pallets/flask,1117,https://github.com/lord63-forks/flask,2014-07-14T07:07:52Z,2014-07-26T14:43:52Z,"['92191fb9d9f9d68811be81977faf108d9f1313f4', '3e9f074d05c732c65cad104235807ed662a7df16', 'de5bb759e3b5f686769c0803541a555475b3ef5f', '7777b06809a4fd948e86f5ce8681c8f401ff37ee', '02e7bec21cec2f32d954e178a1a88f8dd6aaa81a', 'e429e47a967e6846fa6ef723364dd25cc9aea37b', '29768ce45e6e46fd830d11f17250250fd8c5c5fb']",2014-07-14T09:56:00Z,02e7bec21cec2f32d954e178a1a88f8dd6aaa81a,3
https://github.com/pallets/flask,1165,https://github.com/untitaker/flask,2014-09-11T20:09:50Z,2014-09-11T20:09:52Z,"['077d06df5498d51c98983562cff876aff4ab862b', '3550b26071e0f392ad67ece2ea5057a292bdc528', '961db8ad7290f1bd91058b11a5de31e27bf28563', '8fa5e32d9a1fdf042632bd8fcd0b44dd8031b639', 'b93ab41ed12c3dd0c37fb7a85f1aa93966b46d77', 'ec863cef5bb3811803337738c93c65541848a403', '8d97d7143079dd862564a1e119ad44817ba176d6', 'df711eac90223db990eae05a60ee1f6b403443e1', 'a497b10d4fe345c524ad7df24a2c44b066a10abe', 'ba82bac3d80400b5520cac7d0a8915414325bcf6', 'b1c0951ad690a83e49bfd005853a7b09cdb44cb0', 'dd6b2574c9d40c4777da71d576f6e5eea1712404', '5da2c00419d09ce2d3488263036ffd14563fb05a', '7e8f1053bb07f4f73914b5784a87de6dcaea6bcb', 'e77bc2d86c215ae0d86981630450988407728c5d', 'd0cf5ef394264faf87729c06517c79b9a4b6f8dd', 'af41dbe0c479769402c46c0b99b841e781a8fa87', 'af4cb0ff2bb77c0c2f03227b17cc6ef67f28e63b', '03339501ab53794b363df9838978d15631821afe', '9e02a424b2692178dc5a9b8b494b3a1f0bf3bb96', '588cfa9c91c841f4bb3f5a9c91d1c1331f5b8ad3', '861aa0db1fdbc52602b8d502153a0a0b8490f124', '4ea4ea7f93c97043887a280f2cceaad06d615621', 'b88a837674421f492f879c0a0122b0bb921d038e', 'a00ccdce9429188d349cad5a2f5d6f21b2a84c39', '77d887526d9776b15acbb43f31d00148debf0db9', 'f8a778deaeb9fd63d3aaa004fce27d07751a9d59', '71dae377330109455ed26d1eb912e243125e3007', 'a4931ff3a74d9fcd8766bee69a01b62a75a5e131', 'be42d5665e89c7fd57352c0e6b97355d6b3500f3', '4fca38c078142744922a8c763bc1468e680a830d', '56db3ddf4e77a9c2184bf9580a67bcb2dd8ca4d7', '192da325f8b171e7512bea13edd4ddd3330a6ca8']",2014-08-31T21:56:45Z,077d06df5498d51c98983562cff876aff4ab862b,2
https://github.com/pallets/flask,1170,https://github.com/pallets/flask,2014-09-06T20:20:02Z,2014-10-26T00:01:42Z,"['3d3b809347c98ec827687ed3fd6f9f935261536f', '750fa594d8d29715143891ce3eee74672288d14a', '5c6d789e7b2ff17f43f82b7ca7c9a6410ee7c358']",2014-09-06T20:24:10Z,3d3b809347c98ec827687ed3fd6f9f935261536f,6
https://github.com/pallets/flask,1220,https://github.com/pallets/flask,2015-06-06T02:43:22Z,2015-06-06T02:44:41Z,"['f05aeea6dd525d735b5e008aa176b1b839b08cca', '063a8da4f8b9237f425ade907ce97339eff52f56', '43d6b8a5fc5f4efd9dd1ce8c73a0c15979defd22', '3185f445c908a3926f17deb574cb9b1f0b049fe8', 'b12d9762e7fdb4877ea0cb750628149609e3ecb4', 'b9938d0182abac79289963b2df507756bf86a50b', '2b58e6120ceadf363d12cc12889bfc79c18d5066', 'f80ea4fe5d3f194c567d3fd279e1e84050a12b10']",2014-10-25T23:38:43Z,f05aeea6dd525d735b5e008aa176b1b839b08cca,6
