Repo,PullRequest,Fork,Start_date,End_date,Commits,PR_Start,Commit_Before_PR,Participants
https://github.com/psf/requests,121,https://github.com/jerem/requests,2011-08-08T16:11:33Z,2011-08-17T14:04:53Z,"['0b6dc091f50965250d9c421d8aadaa701186a1b9', '7dc581fad99a162baf060e24df0b18b75afe01bd', 'aa0f78b740b6098f29594242b6b923113d0659b3', '2ce26d4a1c74650e9eac1bb30478d08e41462375', '32a861b2eddcfd73049f245984a12b88b364dadd', '7b79cea7384a2dd3df90ac748bac3c4a89ebce24', 'e776242de1b4978f2134916c81051c38af153319', 'e7e395549f8b60777f00c244dabd2bd9f89271b6', 'cf94c96a68904b0c541425bb2eb0ee816d6a4e4c', 'e1909375f595d06d540bf93baa93a782f5cea239', 'fe109b27be1fcafee5d33924d9b84f47ba173264', '571d808d25d3391664a69920d4e0a5cb1418af90', 'a17110b32a000dabb8c084eb9bf486c6fdccdcb6', 'c22b71fc5b69736f40f8e491c5a6c4db461321f3']",2011-08-17T08:24:30Z,fe109b27be1fcafee5d33924d9b84f47ba173264,2
https://github.com/psf/requests,173,https://github.com/mvanveen/requests,2011-09-22T10:45:41Z,2011-09-22T10:52:34Z,"['dcebab4c35369f9f91dab3eb6ff877509f7d38c2', 'c48cf2bba8aafa50ae5cd77e7ab4bb476dca086c', 'ac9f9b653c5acfde2bc6c2c3e8cd3dbf6e402c4f']",2011-09-22T10:49:03Z,dcebab4c35369f9f91dab3eb6ff877509f7d38c2,3
https://github.com/psf/requests,175,https://github.com/jerem/requests,2011-09-26T08:57:45Z,2011-10-03T09:16:43Z,"['62d29d510625aa6c5415f4ba35579059b1c842fd', 'ffde764a910e64398d01a8058a540853b63d60d3', '7077272baa39113538aeed6e40ce38d20f5c512c', '2361a6fc79f3af84550478cd43e0f9ab26e714f4']",2011-09-26T09:03:10Z,ffde764a910e64398d01a8058a540853b63d60d3,3
https://github.com/psf/requests,220,https://github.com/psf/requests,2011-10-23T14:04:46Z,2011-10-23T19:13:34Z,"['b8d4a5ea61de8b579aa3e3d8e37e43f3cc34b619', '340f7a0733b6b023c2bec18bb0f91e8f1052a84d', '94c587d642eb131660e738667dc3861fbd35314e', 'd23c4b94c11eadfba7554fa7216f2a30b04396ca', '0dae52220b274890af08ac040bd90747146c3d90', '06a5aed8e2a539d780020fb893fdf5ef9192ae04', '495c3d500640ce39d53292fd9846a2354d203675', '4892a305d9cd658287b3320d18c60886b14b5b48', '20e0ee4968298815ed8a3cd7de01a17e8451cd6c', 'af6aa3e5729aa4e99716546915957ecf70bb894d', '12db1576e9d0ed897f799a8f382ee92db891988d', 'b7c788cc56b6f2f1113555074fad848afa9caf0f', '60b37e54b56ae9b1f3457bfda6178c001cdddcc4', '4916b1c2cee365bb4975645defe3ed115b161b30', '491a3c075d341a048c50b4a989b87da0c2a75992', '53c7b777355a42eaef1df0c88916d413d3e996ec', '9966017a4976339c76b834eab8a10b4dfba474f1', '68b48309480db3a95372967fe9c005d612c91ea0', 'b88fbb5e0c1a95987612e891c60c3b14418fd077', '82cbae479c248d565e86d6664a0cb89d39dece6b', 'e46251b727479f8c477424afaddc80d2eb388e67', '8f8dbec0d5a48ab39350a37b2c558ed95a4c8252', '58b1c69b6a40749f7dcc03f6489e5486e50f7ea2']",2011-10-23T14:05:46Z,b8d4a5ea61de8b579aa3e3d8e37e43f3cc34b619,2
https://github.com/psf/requests,316,https://github.com/atdt/requests,2011-12-22T21:52:29Z,2011-12-22T22:51:22Z,"['12f3c65e5a426ce32808cc456387ca7d7e7c5126', '91766548d10cd5ebf46aba376f9e000263285875', '2c0ff95d4d8daae7c0624b3a96584d722ebf6c38', 'a7223f86a976410bb904fb2e983440c94175aa75']",2011-12-22T21:53:36Z,12f3c65e5a426ce32808cc456387ca7d7e7c5126,2
https://github.com/psf/requests,399,https://github.com/acdha/requests,2012-01-29T21:51:28Z,2012-01-29T23:45:14Z,"['49bed18a8357cf60761e55bb88802233de78bbe3', '3020d0e56a552cd0a1f603aba69393511ac22d81', '730c0e2e2bef77968a86962f9d5f2bebba4d19ec', '495646bb6a89802a60208c2ab09749edba1f8e51', 'b98cc8b4e9d8c4c12b8f52c9a9be151c306cb977', '67f50a0fe53765987e5a6a1c02daabe6400322af']",2012-01-29T23:58:02Z,67f50a0fe53765987e5a6a1c02daabe6400322af,3
https://github.com/psf/requests,426,https://github.com/mgiuca/requests,2012-02-14T00:47:14Z,2012-02-14T01:57:49Z,"['329efcae6e93e992582f0f3e01f4a7ed31b54979', 'cf54f60367199042d56334c9a1e2a75546025933', '08bc1198d3ed312ab5ce60c29d8447dd5d3f90ea', '75bd9d0e9446dd9819142848fb26c6b8ae8c3532', 'c0763bb8d5b3f4ac74a1d77d064474e4823e2246', 'fcac1c3746b72777b8b25f78b9abff0d3e283389', '1ffce4f7dcb646c4c4b357c214aa9ad77e69f645']",2012-02-14T02:16:51Z,1ffce4f7dcb646c4c4b357c214aa9ad77e69f645,4
https://github.com/psf/requests,431,https://github.com/mgiuca/requests,2012-02-15T01:00:27Z,2012-02-15T01:06:34Z,"['3ae0ff36853d14b3bb23f1344df4889f0f44ed4c', '3bd5406c0628b4e917d5dc47eb0fbf0697e8ea3d', 'b8298b071032e90dd9de3af0a96cbb9ec9cb2e13', '690426ac86bb3423fcd6e57a1443c6d4ca3a8952']",2012-02-15T01:16:31Z,690426ac86bb3423fcd6e57a1443c6d4ca3a8952,2
https://github.com/psf/requests,446,https://github.com/psf/requests,2012-02-20T20:35:02Z,2012-02-20T21:20:07Z,"['2f33679cb39c144a9fef591e5140a766c92d66f5', '79bb9ee1417afe2231972c1331308500104e5dc7', 'de0658f7e82982a398e8acef3470ed6be0e3c52e', 'b0e18650735dc667f76f6aff108877f03b729c23', 'fd7610dd7a144879481b48e3b5412753b8499776', 'faae6b87b14851a75a62c3c4e82e0b571e3a8fa3', '8c873712fe89b9a4378cf069191a197d1eb6500a']",2012-02-20T20:36:57Z,79bb9ee1417afe2231972c1331308500104e5dc7,3
https://github.com/psf/requests,475,https://github.com/umbrae/requests,2012-02-28T17:08:37Z,2012-03-08T22:44:07Z,"['e2645826be0449842dcc812e31541c5254c69e05', '1cf5ec872c4db961addcfe7ba7d167c04205b030', 'fba77fc65f40ba10428346c0d01fe6c5d55ddbce', '0e65dff008f8d18fd6545d4b3e1656e048f3306d', 'bd0e00280460b28d3bf715d64888605750d9e735']",2012-03-08T21:25:34Z,0e65dff008f8d18fd6545d4b3e1656e048f3306d,3
https://github.com/psf/requests,535,https://github.com/Jonty/requests,2012-04-11T14:55:43Z,2012-04-11T14:56:19Z,"['3550ac7473883aea52ca7f4153de8c26357d5c37', 'e28c1c9bfa286b0badb10ddbbeb1fd965f57cad6', '06e4971fe72c377692ba9e37638431ed0582a028']",2012-04-04T10:16:58Z,3550ac7473883aea52ca7f4153de8c26357d5c37,3
https://github.com/psf/requests,552,https://github.com/slingamn/requests,2012-04-16T22:28:31Z,2012-04-23T01:43:59Z,"['99210995463497cf4ee9ec1bee79c5f2bff4e3f8', '1360e77cb2c5c7956b9c2b6e510040fa73c6d7ee', 'e1528ce3be5a0798d509ae774ac7c3667b17ef29', 'b4eb8663afce7d6c5e06df8625c5307a6126ecb5']",2012-04-17T01:00:47Z,1360e77cb2c5c7956b9c2b6e510040fa73c6d7ee,4
https://github.com/psf/requests,559,https://github.com/barberj/requests,2012-05-06T22:14:40Z,2012-05-06T23:24:37Z,"['ed7b14899fcc196acb5631819585dcc2be1b41f7', '0a7d98871c08029c9562699fde92ba293a3a791a', '3288426f2bb4fc52f58ea6422444bc013ce31a8c', 'e912a6f5da30e9a5507fd14cb6cb32f7e05611c0', '64eb415ec0595f4ee5a59578dbbbb99200755c49', 'b06690270500c9b550c989ed3ddf0115808e8796']",2012-04-21T02:21:36Z,ed7b14899fcc196acb5631819585dcc2be1b41f7,4
https://github.com/psf/requests,562,https://github.com/slingamn/requests,2012-05-15T14:17:02Z,2012-05-15T22:42:03Z,"['973e9cb54826062328f1c8650630819205ccfe8e', '2f50cb92b6fd471d4f9771b815bf8bfbb881795f', '355003b400e18be508e530400c2c232f9ce0041c', 'f25827c5b66450482fad8209f38ca77664f504dd']",2012-04-24T09:06:04Z,973e9cb54826062328f1c8650630819205ccfe8e,4
https://github.com/psf/requests,565,https://github.com/slingamn/requests,2012-05-02T00:00:19Z,2012-05-02T00:00:19Z,"['7c5151e8e71551f566edd10df943eb322a4a1dbc', '2a27b123fd5bda2030e81995ff77e0e06f09ceca', 'fed6cfbf4d282cc5056fd1e26b999523fdac73b1', 'c4ab96b63800f04511aada9b5899540a7937967a', '4d6871d9176c13affe625b1885278d396a39f21d', '492bda1343b6413eead297c4b4acf26f68b2a3f2', '1de14e6a93d2f84b1aaea198785c05b2e51d933b', '404ecaf95bbaaa42013d7ae67b96c7593296d8cf', 'ff169d32fee661a40fd600a86ea6fae931bd99c8', '6eb349f5d20e119ce3340d9163472dc51f8031b6', '7832f2ae7e3915c2fe238b0f648176328909395a', '11a3eaec265735b63569bb165047d39df5ba465f']",2012-04-25T07:58:50Z,7c5151e8e71551f566edd10df943eb322a4a1dbc,5
https://github.com/psf/requests,571,https://github.com/slingamn/requests,2012-05-02T02:18:55Z,2012-05-02T06:21:05Z,"['ff7cfa732f16049cc871f00f93c666c8e193cb09', 'fdd08215ea88510ecc5ccf883f37b9d087a5c112', '35d5ac6e8f5f4357f945b8c4890388207f7f1c00', 'd232948188f922c137dd709b53f77c49d1442c84', 'bdd7f8f8a2cffae76aee80f8eddac3e969cbe69a', 'a453a78c7c94aa220aa099dd62a36ec5b5232571']",2012-05-02T06:33:07Z,a453a78c7c94aa220aa099dd62a36ec5b5232571,3
https://github.com/psf/requests,572,https://github.com/slingamn/requests,2012-05-02T23:18:14Z,2012-05-03T03:21:02Z,"['a9033912b392900e3ab0b1d93e2545f05fabc467', '57ccd7e65c30ffef773c7e60a582ce9325482fed', '538de55607eb1db8299f2b83421a91b9f533cb50', 'a8555d811df0a4aaf2dd1f083ba0bc71679101ca', '853a07112b19fe6101ae5b6914e111230d465156']",2012-05-02T07:10:18Z,a9033912b392900e3ab0b1d93e2545f05fabc467,3
https://github.com/psf/requests,573,https://github.com/idan/requests,2012-05-02T20:16:38Z,2012-05-02T21:08:00Z,"['d240b1fe15d373b37c5939db52835816d88f0aab', '324336e7f6e45ef3d97a2e64be95b5e604b393d3', 'cf6b20429a98c71923d3159f9e149ee3b34ab5d3']",2012-05-02T21:11:19Z,cf6b20429a98c71923d3159f9e149ee3b34ab5d3,3
https://github.com/psf/requests,581,https://github.com/crodjer/requests,2012-05-04T05:14:01Z,2012-05-04T05:29:57Z,"['0ba8c44260209ff518809a6b5b307d443e8dfe67', 'abc38cf17f4e7149cff2da96fa364e4a5d39a632', '7cf6ca80a65d56d551101e74bcdc3d03e2df7736']",2012-05-04T05:16:59Z,abc38cf17f4e7149cff2da96fa364e4a5d39a632,3
https://github.com/psf/requests,595,https://github.com/reclosedev/requests,2012-05-08T08:17:58Z,2012-05-08T10:30:24Z,"['56ef079e6fac587cdd367c0442f1c7ebe5fe54b7', '975430d5e622b9815e42963c3c0b0704e7d5a39c', '33f10875848021071cf4328280fd5114fe8dc151', 'c010f5895ae56c40d4b349e61f5707b93d662457']",2012-05-08T09:19:50Z,33f10875848021071cf4328280fd5114fe8dc151,5
https://github.com/psf/requests,626,https://github.com/joshimhoff/requests,2012-05-18T04:48:59Z,2012-05-22T00:27:47Z,"['686db5d45253a721b60fb1e445aa4dff0fcf2e87', 'b7d0925d6b2c37e8ebe5ac4cdfffce08ffae7dde', '9f26d0ced3d7a360b1bb392a5e8257409378bac5', '96cd8e9ca0b6953794b9b3244b244dd34f975544', '0eb0b89431d467197b361e4eab3c3399ff07b22e']",2012-05-22T04:39:22Z,0eb0b89431d467197b361e4eab3c3399ff07b22e,3
https://github.com/psf/requests,709,https://github.com/dstufft/requests,2012-07-07T20:08:22Z,2012-07-08T04:47:24Z,"['982268a2019b451b587f717675039ebccf00a658', '11433d942dcc0bb9e321141ff04d378568c288fb', '523433f26cc6385b91fcc87186437474abd2cde1', '21f60fe8dfe2ebbde2318f763f585d7de18d3d6f']",2012-07-07T20:18:40Z,11433d942dcc0bb9e321141ff04d378568c288fb,3
https://github.com/psf/requests,746,https://github.com/jakubroztocil/requests,2012-08-10T17:49:03Z,2012-08-11T06:19:35Z,"['cfa627ae62cebff20edf0816ce327c61603ef6a8', 'dee3693ea004e2f859e4fba4cfedb376e4d0bb2b', '88c762e256647a03f10a7a8c8707043a1b33aa5b']",2012-07-27T15:17:21Z,cfa627ae62cebff20edf0816ce327c61603ef6a8,5
https://github.com/psf/requests,764,https://github.com/slingamn/requests,2012-08-06T22:53:48Z,2012-08-06T23:11:45Z,"['857d8eda3a4055d92626f71ff5b34ce8cc6ec167', '030ead9c36b59d2e18f6381f3f8c96c6e4de0090', '000c1053035812ee765a4f4a967eb69dba400a04', '291859c199c481bf1e304e39613ca90b6f55f9f8']",2012-08-06T22:57:23Z,000c1053035812ee765a4f4a967eb69dba400a04,3
https://github.com/psf/requests,784,https://github.com/dicato/requests,2012-08-16T20:27:31Z,2012-08-16T21:08:57Z,"['ff55d737d509d8af1308c4b118dd2cc4ebbaaa72', 'b9d3ce2e10339d41aeaeb24c4226c4ce17558b53', 'b31a4399c7cdd0a7c5a7f2c4c7a320fbeb30ebff']",2012-08-16T20:26:44Z,ff55d737d509d8af1308c4b118dd2cc4ebbaaa72,4
https://github.com/psf/requests,791,https://github.com/sigmavirus24/requests,2012-08-02T21:31:30Z,2012-08-18T22:31:58Z,"['42ddc4c9e8faff8103adf1e083f0260945357646', '2b33bc289f78adde0df16589122d8cdc8eb09567', 'c71f48b5f1d989644e26b9004c2af7a6f27d4708', '46b6207f05f0f91c88a69156f88afa7e92c560cf', '1efd06a87da37c074f7590ff5968090d849cea3f', '5ff165a1e2b30d5568c058b11139038963b4f979', '644c6f91342cee0fa96851c05cf125b23e905a33', '2d5e38f30ad9f3bd0e3a87518ae79ccbdf779369', 'd82d1241525b3e9a548101a4ab56d76d40fb6a8a', '1722f289711e3d03b0e00fb548f3e8ea92544775', 'ceec572cb97515c2078f26d5a909f8b99f525183', 'e02da89337e798a39bc29dfa6e0ceb8636b6761c', 'f01694e2743c9883ca316d3abd8d2385d5c5f37e', 'ab56e4a9f170c2c951d443853466f27b31dcc256', '329af44f351eaea251601cabcafcd70a62521af5', 'a5d462e176c61c9967ef6cbcc0ef50a4764dc0b6']",2012-08-18T17:50:27Z,f01694e2743c9883ca316d3abd8d2385d5c5f37e,4
https://github.com/psf/requests,819,https://github.com/ayanamist/requests,2012-08-28T04:52:32Z,2012-08-28T07:38:13Z,"['8a1d53eb3ac19cabbb85e2bdfae418cd6fa84612', '46ff4b386281f619506c13f8a6548ecd3e4d3559', 'aded42f23247e86495654ddd85ae9e000bbe9c1e', 'babac7368b9aa34fd1f0e5d29d4f80c2006ad614']",2012-08-28T04:55:03Z,8a1d53eb3ac19cabbb85e2bdfae418cd6fa84612,4
https://github.com/psf/requests,884,https://github.com/everbird/requests,2012-10-08T08:52:06Z,2012-10-09T15:19:42Z,"['86b39bf3e33c174f5535207082ccac64aaf7aa45', '2d9f953d4cf24f245764f2d700ab5024d6f22110', 'bb9e72885a9a516550efbe1a1f40c780a3e2554d']",2012-10-08T09:21:19Z,86b39bf3e33c174f5535207082ccac64aaf7aa45,3
