URL,PullNo,Participants,Quality
https://github.com/keras-team/keras,188,3,0.0
https://github.com/keras-team/keras,241,3,0.03000000000000025
https://github.com/keras-team/keras,243,2,-0.009999999999999787
https://github.com/keras-team/keras,244,5,0.15000000000000036
https://github.com/keras-team/keras,276,4,0.0
https://github.com/keras-team/keras,333,2,0.0
https://github.com/keras-team/keras,416,4,0.33999999999999986
https://github.com/keras-team/keras,451,4,0.0
https://github.com/keras-team/keras,457,2,0.0
https://github.com/keras-team/keras,567,3,-0.020000000000000462
https://github.com/keras-team/keras,690,2,-0.040000000000000036
https://github.com/keras-team/keras,696,2,0.0
https://github.com/keras-team/keras,732,2,0.010000000000000675
https://github.com/keras-team/keras,775,2,0.13999999999999968
https://github.com/keras-team/keras,777,2,0.019999999999999574
https://github.com/keras-team/keras,791,4,0.0
https://github.com/keras-team/keras,881,4,0.009999999999999787
https://github.com/keras-team/keras,885,3,0.0
https://github.com/keras-team/keras,893,3,0.79
https://github.com/keras-team/keras,990,7,0.0
https://github.com/keras-team/keras,1162,4,0.009999999999999787
https://github.com/keras-team/keras,1230,2,0.009999999999999787
https://github.com/keras-team/keras,1242,3,0.0
https://github.com/keras-team/keras,1259,3,0.0
https://github.com/keras-team/keras,1271,2,-0.020000000000000462
https://github.com/keras-team/keras,1279,3,0.0
https://github.com/keras-team/keras,1293,2,0.009999999999999787
https://github.com/keras-team/keras,1305,2,0.0
https://github.com/keras-team/keras,1352,2,0.0
https://github.com/keras-team/keras,1396,3,0.0699999999999994
https://github.com/keras-team/keras,1417,2,0.009999999999999787
https://github.com/keras-team/keras,1501,2,1.13
https://github.com/keras-team/keras,1770,2,0.08000000000000007
https://github.com/keras-team/keras,1799,5,0.020000000000000462
https://github.com/keras-team/keras,2055,3,0.009999999999999787
https://github.com/keras-team/keras,2152,13,0.3200000000000003
https://github.com/keras-team/keras,2202,2,0.0
https://github.com/keras-team/keras,2252,2,0.0
https://github.com/keras-team/keras,2446,5,-0.04999999999999982
https://github.com/keras-team/keras,2512,2,0.0
https://github.com/keras-team/keras,2764,4,0.0
https://github.com/keras-team/keras,3049,6,0.0
https://github.com/keras-team/keras,3128,2,-0.009999999999999787
https://github.com/keras-team/keras,3218,3,0.0
https://github.com/keras-team/keras,3251,5,-0.03000000000000025
https://github.com/keras-team/keras,3436,9,0.019999999999999574
https://github.com/keras-team/keras,3446,5,0.0
https://github.com/keras-team/keras,3470,3,0.0
https://github.com/keras-team/keras,3488,2,0.019999999999999574
https://github.com/keras-team/keras,3494,2,0.0
https://github.com/keras-team/keras,3549,2,0.0
https://github.com/keras-team/keras,3595,4,0.010000000000000675
https://github.com/keras-team/keras,3689,3,0.009999999999999787
https://github.com/keras-team/keras,3695,2,0.010000000000000675
https://github.com/keras-team/keras,3733,4,0.0
https://github.com/keras-team/keras,3780,2,0.0
https://github.com/keras-team/keras,3906,9,-0.08999999999999986
https://github.com/keras-team/keras,4121,3,0.0
https://github.com/keras-team/keras,4141,5,0.0
https://github.com/keras-team/keras,4200,2,0.020000000000000462
https://github.com/keras-team/keras,4429,4,0.0
https://github.com/keras-team/keras,4790,4,0.0
https://github.com/keras-team/keras,5132,3,0.0
https://github.com/keras-team/keras,5247,6,0.28000000000000025
https://github.com/keras-team/keras,5472,3,0.23999999999999932
https://github.com/keras-team/keras,5559,3,0.0
https://github.com/keras-team/keras,5684,2,-0.010000000000000675
https://github.com/keras-team/keras,5767,2,0.0
https://github.com/keras-team/keras,5795,6,0.0
https://github.com/keras-team/keras,5836,2,-0.009999999999999787
https://github.com/keras-team/keras,5882,3,0.0
https://github.com/keras-team/keras,5921,2,0.0
https://github.com/keras-team/keras,6065,4,-0.0600000000000005
https://github.com/keras-team/keras,6301,2,0.0
https://github.com/keras-team/keras,6311,2,0.0
https://github.com/keras-team/keras,6392,2,0.0
https://github.com/keras-team/keras,6398,3,0.010000000000000675
https://github.com/keras-team/keras,6410,4,-0.009999999999999787
https://github.com/keras-team/keras,6510,2,0.0
https://github.com/keras-team/keras,6529,2,0.009999999999999787
https://github.com/keras-team/keras,6577,3,0.0
https://github.com/keras-team/keras,6816,3,-0.05000000000000071
https://github.com/keras-team/keras,6859,2,0.0
https://github.com/keras-team/keras,6891,7,-0.11000000000000032
https://github.com/keras-team/keras,6915,3,0.009999999999999787
https://github.com/keras-team/keras,6982,3,0.0
https://github.com/keras-team/keras,6990,6,0.0
https://github.com/keras-team/keras,7040,2,0.009999999999999787
https://github.com/keras-team/keras,7063,2,0.019999999999999574
https://github.com/keras-team/keras,7069,2,0.0
https://github.com/keras-team/keras,7113,4,0.040000000000000036
https://github.com/keras-team/keras,7135,2,0.010000000000000675
https://github.com/keras-team/keras,7161,4,0.009999999999999787
https://github.com/keras-team/keras,7169,3,0.0
https://github.com/keras-team/keras,7256,2,0.0
https://github.com/keras-team/keras,7272,3,-0.009999999999999787
https://github.com/keras-team/keras,7306,4,0.010000000000000675
https://github.com/keras-team/keras,7407,2,-0.009999999999999787
https://github.com/keras-team/keras,7422,2,0.009999999999999787
https://github.com/keras-team/keras,7430,3,0.0
https://github.com/keras-team/keras,7467,5,0.0
https://github.com/keras-team/keras,7566,6,0.009999999999999787
https://github.com/keras-team/keras,7573,3,-0.009999999999999787
https://github.com/keras-team/keras,7593,3,0.0
https://github.com/keras-team/keras,7691,2,0.0
https://github.com/keras-team/keras,7696,2,0.0
https://github.com/keras-team/keras,7793,2,0.009999999999999787
https://github.com/keras-team/keras,7865,2,0.0
https://github.com/keras-team/keras,7975,3,0.0
https://github.com/keras-team/keras,7980,4,0.009999999999999787
https://github.com/keras-team/keras,8039,5,0.009999999999999787
https://github.com/keras-team/keras,8052,5,-0.08000000000000007
https://github.com/keras-team/keras,8056,6,-0.009999999999999787
