URL,PullNo,Participants,Quality
https://github.com/pandas-dev/pandas,1084,2,-0.009999999999999787
https://github.com/pandas-dev/pandas,1621,2,-0.03000000000000025
https://github.com/pandas-dev/pandas,1735,2,0.0
https://github.com/pandas-dev/pandas,1748,3,0.0
https://github.com/pandas-dev/pandas,2032,3,0.0
https://github.com/pandas-dev/pandas,2370,5,-0.009999999999999787
https://github.com/pandas-dev/pandas,2230,3,0.0
https://github.com/pandas-dev/pandas,2371,2,0.04999999999999982
https://github.com/pandas-dev/pandas,2407,2,-0.02999999999999936
https://github.com/pandas-dev/pandas,2497,3,0.0
https://github.com/pandas-dev/pandas,2607,2,0.0
https://github.com/pandas-dev/pandas,2632,2,0.0
https://github.com/pandas-dev/pandas,2675,3,0.0
https://github.com/pandas-dev/pandas,2755,4,0.0
https://github.com/pandas-dev/pandas,2758,3,-0.15000000000000036
https://github.com/pandas-dev/pandas,2838,2,0.0
https://github.com/pandas-dev/pandas,2867,2,0.0
https://github.com/pandas-dev/pandas,2881,4,0.0
https://github.com/pandas-dev/pandas,2883,2,0.0
https://github.com/pandas-dev/pandas,2922,7,0.0
https://github.com/pandas-dev/pandas,2925,4,0.0
