URL,PullNo,Participants,CCN,Quality,Num_Vulns
https://github.com/scrapy/scrapy,177,2,-0.125874126,-0.02,0
https://github.com/scrapy/scrapy,234,2,0,0,0
https://github.com/scrapy/scrapy,339,2,0.042182697,0.02,0
https://github.com/scrapy/scrapy,343,4,-0.182142857,0,1
https://github.com/scrapy/scrapy,363,2,0,0,0
https://github.com/scrapy/scrapy,370,4,0.08125,-0.01,0
https://github.com/scrapy/scrapy,397,9,-0.019347826,0,-1
https://github.com/scrapy/scrapy,426,7,0.288530982,0.04,7
https://github.com/scrapy/scrapy,431,3,0,0.02,0
https://github.com/scrapy/scrapy,472,4,0.006451613,0,0
https://github.com/scrapy/scrapy,490,3,-0.005627175,0.02,0
https://github.com/scrapy/scrapy,519,4,-0.076923077,-0.08,8
https://github.com/scrapy/scrapy,525,5,-0.015050167,0,0
https://github.com/scrapy/scrapy,535,5,0,0,0
https://github.com/scrapy/scrapy,679,3,0,0,0
https://github.com/scrapy/scrapy,690,4,0.04047619,0,0
https://github.com/scrapy/scrapy,737,2,-0.037938596,0.04,8
https://github.com/scrapy/scrapy,779,3,0.010510511,0,0
https://github.com/scrapy/scrapy,803,3,0,0.01,0
https://github.com/scrapy/scrapy,816,6,0.011536582,0,2
https://github.com/scrapy/scrapy,946,5,-0.038873615,0,0
https://github.com/scrapy/scrapy,1060,8,-0.099561105,0.02,0
https://github.com/scrapy/scrapy,1089,4,0,0,0
https://github.com/scrapy/scrapy,1123,4,0,0,0
https://github.com/scrapy/scrapy,1137,4,0,0.02,0
https://github.com/scrapy/scrapy,1166,3,0.00952381,0,0
https://github.com/scrapy/scrapy,1181,3,-0.029017857,-0.09,0
https://github.com/pandas-dev/pandas,1084,2,0.035889218,-0.01,0
https://github.com/pandas-dev/pandas,1621,2,-0.045072542,-0.03,0
https://github.com/pandas-dev/pandas,1735,2,-0.001238744,0,0
https://github.com/pandas-dev/pandas,1748,3,0,0,0
https://github.com/pandas-dev/pandas,2032,3,0.019753086,0,0
https://github.com/pandas-dev/pandas,2370,5,-0.093226758,-0.01,0
