URL,PullNo,Participants,CCN,Quality,Num_Vulns
https://github.com/keras-team/keras,188,3,-0.0155640704919284,0.0,0.0
https://github.com/keras-team/keras,241,3,0.0787537136066547,0.0300000000000002,0.0
https://github.com/keras-team/keras,243,2,-0.0424836601307188,-0.0099999999999997,0.0
https://github.com/keras-team/keras,244,5,0.0153558296737331,0.1500000000000003,0.0
https://github.com/keras-team/keras,276,4,0.0,0.0,0.0
https://github.com/keras-team/keras,333,2,0.0,0.0,0.0
https://github.com/keras-team/keras,416,4,-3.5,0.3399999999999998,0.0
https://github.com/keras-team/keras,451,4,0.0,0.0,0.0
https://github.com/keras-team/keras,457,2,0.0,0.0,0.0
https://github.com/keras-team/keras,567,3,0.026315789473684,-0.0200000000000004,0.0
https://github.com/keras-team/keras,690,2,-0.0156941649899395,-0.04,0.0
https://github.com/keras-team/keras,696,2,0.0,0.0,0.0
https://github.com/keras-team/keras,732,2,0.0,0.0100000000000006,0.0
https://github.com/keras-team/keras,775,2,-0.1104269293924467,0.1399999999999996,-4.0
https://github.com/keras-team/keras,777,2,-0.0448275862068965,0.0199999999999995,-1.0
https://github.com/keras-team/keras,791,4,0.0,0.0,0.0
https://github.com/keras-team/keras,881,4,-0.0444444444444447,0.0099999999999997,0.0
https://github.com/keras-team/keras,885,3,0.0,0.0,0.0
https://github.com/keras-team/keras,893,3,-0.0220346463643385,0.79,-9.0
https://github.com/keras-team/keras,990,7,0.0,0.0,0.0
https://github.com/keras-team/keras,1162,4,0.0105814052038307,0.0099999999999997,0.0
https://github.com/keras-team/keras,1230,2,-0.025030525030525,0.0099999999999997,0.0
https://github.com/keras-team/keras,1242,3,0.0,0.0,0.0
https://github.com/keras-team/keras,1259,3,-0.0017241890529562,0.0,0.0
https://github.com/keras-team/keras,1271,2,0.0092933447556317,-0.0200000000000004,0.0
https://github.com/keras-team/keras,1279,3,0.0,0.0,0.0
https://github.com/keras-team/keras,1293,2,0.0,0.0099999999999997,0.0
https://github.com/keras-team/keras,1305,2,0.0,0.0,0.0
https://github.com/keras-team/keras,1352,2,0.0,0.0,0.0
https://github.com/keras-team/keras,1396,3,0.0148148148148148,0.0699999999999994,0.0
https://github.com/keras-team/keras,1417,2,0.0,0.0099999999999997,0.0
https://github.com/keras-team/keras,1501,2,0.2041447584628678,1.13,0.0
https://github.com/keras-team/keras,1770,2,-0.0989511540365292,0.08,0.0
https://github.com/keras-team/keras,1799,5,-0.0021666200726866,0.0200000000000004,0.0
https://github.com/keras-team/keras,2055,3,0.025487012987013,0.0099999999999997,0.0
https://github.com/keras-team/keras,2152,13,-0.0766535608638922,0.3200000000000003,27.0
https://github.com/keras-team/keras,2202,2,-0.0296934865900383,0.0,0.0
https://github.com/keras-team/keras,2252,2,0.0,0.0,0.0
https://github.com/keras-team/keras,2446,5,-0.0261437908496731,-0.0499999999999998,0.0
https://github.com/keras-team/keras,2512,2,-0.0576923076923079,0.0,0.0
https://github.com/keras-team/keras,2764,4,0.0,0.0,0.0
https://github.com/keras-team/keras,3049,6,0.1306306306306305,0.0,0.0
https://github.com/keras-team/keras,3128,2,-0.0878378378378377,-0.0099999999999997,-2.0
https://github.com/keras-team/keras,3218,3,0.0,0.0,0.0
https://github.com/keras-team/keras,3251,5,0.0041288828484572,-0.0300000000000002,0.0
https://github.com/keras-team/keras,3436,9,-0.0041902299289954,0.0199999999999995,0.0
https://github.com/keras-team/keras,3446,5,0.0,0.0,0.0
https://github.com/keras-team/keras,3470,3,0.0,0.0,0.0
https://github.com/keras-team/keras,3488,2,-0.0852157615182825,0.0199999999999995,-9.0
https://github.com/keras-team/keras,3494,2,0.0138116224053723,0.0,-2.0
https://github.com/keras-team/keras,3549,2,0.0,0.0,0.0
https://github.com/keras-team/keras,3595,4,-0.1494862897189901,0.0100000000000006,0.0
https://github.com/keras-team/keras,3689,3,0.0,0.0099999999999997,0.0
https://github.com/keras-team/keras,3695,2,-0.1940145631551219,0.0100000000000006,0.0
https://github.com/keras-team/keras,3733,4,-0.5,0.0,0.0
https://github.com/keras-team/keras,3780,2,0.0174688057040999,0.0,0.0
https://github.com/keras-team/keras,3906,9,-1.376470588235294,-0.0899999999999998,-3.0
https://github.com/keras-team/keras,4121,3,-0.0294117647058822,0.0,0.0
https://github.com/keras-team/keras,4141,5,-0.0496168500363884,0.0,0.0
https://github.com/keras-team/keras,4200,2,0.0093984030154242,0.0200000000000004,3.0
https://github.com/keras-team/keras,4429,4,0.0,0.0,0.0
