URL,PullNo,Participants,CCN,Quality,Num_Vulns
"['https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests']",173,3,0.0,0.0,0.0
"['https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests']",175,3,-0.5485411140583554,0.4899999999999997,1.0
"['https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests']",220,2,-0.8053077816492451,-0.1600000000000001,-1.0
"['https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests']",316,2,0.0,0.0,0.0
"['https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests']",446,3,-0.0526315789473681,0.0199999999999995,0.0
"['https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests']",475,3,-0.0046610169491525,-0.0099999999999997,0.0
"['https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests']",535,3,0.0,-0.0100000000000006,0.0
"['https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests']",552,4,0.0,0.0100000000000006,0.0
"['https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests']",559,4,0.0,0.0,0.0
"['https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests', 'https://github.com/psf/requests']",562,4,0.0,-0.0899999999999998,2.0
