URL,PullNo,Participants,CCN,Quality,Num_Vulns
https://github.com/tornadoweb/tornado,302,2,-0.0238469231258525,0.3,-3.0
https://github.com/tornadoweb/tornado,368,2,-0.0588235294117649,0.0,0.0
https://github.com/tornadoweb/tornado,476,2,0.0185110663983905,0.0,0.0
https://github.com/tornadoweb/tornado,575,3,0.0,0.0,0.0
https://github.com/tornadoweb/tornado,628,2,0.0140549757843684,-0.0300000000000002,0.0
https://github.com/tornadoweb/tornado,686,3,0.0,0.0100000000000006,0.0
https://github.com/tornadoweb/tornado,723,3,0.0295051353874883,0.0,0.0
https://github.com/tornadoweb/tornado,727,2,0.0,0.0100000000000006,0.0
https://github.com/tornadoweb/tornado,789,3,-0.023219814241486,0.0,0.0
https://github.com/tornadoweb/tornado,790,3,-0.0235897612577501,0.0,0.0
https://github.com/tornadoweb/tornado,794,2,-0.0087910497146167,0.0100000000000006,-2.0
https://github.com/tornadoweb/tornado,885,2,0.0,0.0,0.0
https://github.com/tornadoweb/tornado,907,2,-0.0121002412388705,0.0,0.0
https://github.com/tornadoweb/tornado,963,2,0.0,-0.0099999999999997,0.0
https://github.com/tornadoweb/tornado,980,3,0.0,-0.0099999999999997,0.0
https://github.com/tornadoweb/tornado,1021,4,-0.0732188932618237,-0.0499999999999998,-2.0
https://github.com/tornadoweb/tornado,1023,2,0.0027322404371584,0.0,0.0
https://github.com/tornadoweb/tornado,1053,4,0.0,0.0099999999999997,0.0
https://github.com/tornadoweb/tornado,1233,2,-0.0169491525423728,0.0,0.0
https://github.com/tornadoweb/tornado,1261,2,0.0053475935828877,0.0,0.0
https://github.com/tornadoweb/tornado,1270,2,0.0,0.0,0.0
https://github.com/tornadoweb/tornado,1274,2,-0.0080213903743315,0.0,0.0
https://github.com/tornadoweb/tornado,1341,2,0.0075910931174089,0.0,0.0
https://github.com/tornadoweb/tornado,1344,2,0.0,0.0,0.0
https://github.com/tornadoweb/tornado,1399,2,-0.0026565464895635,-0.04,6.0
